"EP_Plotid","spec1","spec2","spec3","spec4","spec5","spec6","spec7","spec8","spec9","spec10"
"HEW13",7,4,10,9,1,3,6,1,4,6
"SEG14",6,4,8,0,8,8,9,5,1,18
"SEG15",1,3,8,8,6,1,8,2,6,1
"SEG16",4,96,13,3,6,9,7,4,7,4
"SEG17",8,9,1,3,9,4,3,7,1,6
"SEG18",2,1,5,5,2,2,1,6,6,6
"SEG19",3,6,9,9,61,4,8,9,3,10
"SEG20",3,6,7,5,0,2,44,10,10,2
"SEG21",1,3,4,6,3,4,6,3,6,6
"SEG22",10,7,3,38,3,0,4,6,0,6
"SEG23",4,90,7,4,7,36,4,3,2,2
"SEG24",0,1,7,0,0,1,4,6,5,6
"SEG25",10,7,5,5,5,5,0,10,3,6
"SEG26",89,3,6,0,8,8,10,4,5,7
"SEG1",1,5,7,10,6,8,2,7,9,5
"SEG2",6,52,6,4,8,9,6,1,32,8
"SEG3",7,1,1,5,0,2,4,7,0,4
"SEG4",4,8,6,2,5,3,18,7,7,5
"SEG5",5,1,1,5,9,5,10,6,96,10
"SEG6",9,4,4,2,6,9,9,8,8,5
"SEG7",0,3,7,3,5,3,2,10,9,4
"SEG8",0,2,4,0,10,1,9,4,8,9
"SEG9",5,5,2,10,8,9,9,1,1,6
"SEG10",3,10,6,1,8,5,6,1,29,7
"SEG11",3,1,33,9,9,0,7,1,2,5
"SEG12",0,10,1,7,9,10,6,9,5,2
"SEG13",0,3,90,8,7,4,9,0,2,4
"SEW42",49,1,4,3,6,8,4,34,4,2
"SEW43",10,7,3,40,9,0,4,8,87,1
"SEW44",7,3,3,0,5,7,10,58,7,3
"SEW45",5,7,10,6,28,9,86,6,0,8
"SEW46",3,9,7,37,6,0,3,2,9,2
"SEW47",4,4,6,1,4,10,99,4,4,0
"SEW48",2,2,5,4,0,1,3,4,9,2
"SEW49",8,9,4,2,4,8,10,1,2,4
"SEW50",8,9,9,58,3,9,93,1,38,2
"SEW25",4,3,34,3,6,4,7,3,8,3
"SEW26",9,7,8,3,9,2,10,9,10,5
"SEW27",9,8,6,6,8,5,8,10,8,6
"SEW28",5,68,0,9,0,10,8,7,2,3
"SEW29",0,7,2,9,10,8,4,8,3,45
"SEW30",4,5,8,5,4,5,10,9,9,7
"SEW31",6,6,1,1,0,29,7,2,1,0
"SEW32",7,0,0,10,9,6,3,2,10,6
"SEW33",4,3,1,8,1,4,8,7,4,4
"SEW34",2,74,6,10,7,0,6,0,34,3
"SEW35",6,0,6,4,85,0,9,4,0,7
"SEW36",7,0,3,4,4,5,3,9,1,4
"SEW37",1,6,5,5,1,5,9,10,10,10
"SEW38",2,2,3,10,9,9,7,79,10,2
"SEW39",4,8,9,7,0,33,4,7,1,3
"SEW40",3,0,5,2,0,10,8,6,7,6
"SEW41",9,1,1,9,60,10,2,57,8,5
"SEW21",5,4,5,7,1,9,7,1,8,9
"SEW22",0,10,9,8,1,10,0,3,1,0
"SEW23",2,5,4,6,0,1,10,10,10,4
"SEW24",13,4,52,3,0,3,6,8,0,1
"HEW51",10,10,8,9,0,1,7,8,6,0
"SEW1",0,1,4,0,2,5,5,9,10,7
"SEW2",10,4,8,9,3,2,10,3,0,2
"SEW3",5,7,9,3,4,4,4,8,3,2
"SEW4",6,4,86,9,89,1,7,6,4,3
"SEW5",8,38,31,10,7,5,4,3,10,6
"SEW6",10,0,2,4,58,9,10,10,8,5
"SEW7",0,9,10,36,3,1,0,1,8,4
"SEW8",7,6,10,2,1,5,2,6,0,2
"SEW9",4,10,7,9,1,1,4,2,9,3
"SEW10",8,0,7,3,4,8,1,3,63,8
"SEW11",3,5,7,3,8,9,2,1,10,0
"SEW12",10,3,8,1,8,9,1,17,3,5
"SEW13",9,5,8,5,1,5,6,6,0,0
"SEW14",2,7,5,10,7,5,8,6,3,6
"SEW15",4,4,8,6,7,2,9,1,2,8
