"EP_Plotid","spec1","spec2","spec3","spec4","spec5","spec6","spec7","spec8","spec9","spec10"
"HEW13",4,99,7,7,6,2,7,1,1,0
"SEG14",5,8,9,-88888888,8,4,4,1,10,0
"SEG15",6,8,2,0,75,3,2,7,10,3
"SEG16",4,1,10,2,93,1,8,1,6,5
"SEG17",62,3,10,7,3,1,1,9,55,5
"SEG18",2,5,5,3,0,9,6,6,0,3
"SEG19",5,9,5,0,0,24,2,8,8,18
"SEG20",6,5,9,7,10,1,0,7,3,12
"SEG21",2,8,8,6,6,48,6,8,8,10
"SEG22",2,5,5,8,3,1,9,1,6,8
"SEG23",9,4,2,6,7,7,0,1,8,99
"SEG24",10,2,19,5,1,49,8,2,0,1
"SEG25",3,5,7,0,8,4,8,8,3,1
"SEG26",4,1,3,1,2,10,1,5,3,6
"SEG1",5,1,10,1,9,10,6,9,5,9
"SEG2",1,3,7,6,4,19,2,4,2,3
"SEG3",9,0,6,0,10,6,90,9,8,2
"SEG4",1,1,3,0,7,1,1,6,8,6
"SEG5",0,8,3,6,7,4,7,8,2,0
"SEG6",9,5,5,8,9,8,5,1,42,4
"SEG7",24,3,0,2,8,8,7,6,17,6
"SEG8",92,4,6,52,10,2,5,0,10,3
"SEG9",10,3,2,6,93,1,9,67,2,0
"SEG10",41,9,3,7,4,1,1,0,68,26
"SEG11",10,9,39,8,6,3,8,8,6,5
"SEG12",8,1,2,10,6,92,6,47,4,7
"SEG13",5,5,0,0,4,3,1,4,5,7
"SEW42",8,4,29,28,6,7,0,34,9,0
"SEW43",6,6,8,0,18,2,2,3,7,1
"SEW44",9,1,4,7,10,0,5,10,1,2
"SEW45",2,4,8,0,3,7,7,9,70,39
"SEW46",9,10,9,9,0,9,4,2,10,5
"SEW47",10,9,4,1,7,4,10,7,4,1
"SEW48",9,3,1,0,8,4,1,0,9,4
"SEW49",8,9,10,5,6,6,8,9,2,60
"SEW50",1,6,7,9,8,1,10,7,8,100
"SEW25",1,6,7,5,10,4,5,10,10,4
"SEW26",5,4,8,6,10,8,5,9,8,7
"SEW27",9,0,10,3,5,0,7,2,9,6
"SEW28",1,7,0,7,2,0,8,4,7,6
"SEW29",6,2,5,9,3,4,17,8,5,7
"SEW30",8,56,10,4,0,4,10,7,8,5
"SEW31",7,4,67,88,5,71,5,0,3,5
"SEW32",3,1,6,7,3,1,8,0,0,5
"SEW33",1,0,6,9,10,10,10,3,7,4
