"EP_Plotid","Richness","Menhinick","Margalef","Shannon","Simpson","Simpson_inv"
"AEG1",7791,3.08849294294471,497.252583782173,7.27016335185892,0.999070624078841,1075.99086358148
"AEG10",7735,3.06628943695416,493.677898223949,7.25640106516132,0.999063519507395,1067.82790233913
"AEG11",7764,3.07779884558718,495.529304149668,7.26858266545607,0.99907768184341,1084.22456270044
"AEG12",7865,3.11781366915295,501.975872118574,7.29117319254158,0.999107587936272,1120.55858570756
"AEG13",7803,3.09327159090267,498.019014406863,7.25530430928733,0.999068024570228,1072.98966051601
"AEG14",7721,3.06074247773685,492.784307350832,7.24830012766797,0.999056181417718,1059.52565331165
"AEG15",7822,3.10078969865764,499.231541221061,7.26878556652661,0.999076692067491,1083.06228592903
"AEG16",7788,3.08731411984855,497.061301680817,7.26599306602902,0.999081698902835,1088.96744552275
"AEG17",7855,3.11386198477808,501.337807291011,7.26260629788694,0.999072518970902,1078.18916897177
"AEG18",7809,3.09564962929109,498.401997753846,7.28481699870753,0.999094189184688,1103.98328557776
"AEG19",7817,3.09880857742185,498.912400300356,7.2764710064617,0.99908599707498,1094.08840237426
"AEG2",7760,3.07618440552843,495.273384179293,7.24156415009546,0.999044967170024,1047.08442329171
"AEG20",7816,3.09840948026127,498.848513065935,7.26441810262632,0.999074641020693,1080.66169169189
"AEG21",7792,3.08887431336815,497.316106657667,7.28575146136118,0.999104281459953,1116.42212959822
"AEG22",7760,3.07621945319308,495.274104555067,7.27205807319492,0.999090904987171,1099.99503449907
"AEG23",7814,3.09761542566659,498.720823685625,7.2357934374067,0.999043247112299,1045.20196683439
"AEG24",7828,3.10314236738331,499.614003114539,7.30086271955971,0.999114919604489,1129.84086538541
"AEG25",7722,3.06113071781633,492.847971426971,7.24553128065792,0.999053828779434,1056.89116120178
"AEG26",7825,3.10197895576528,499.423037784628,7.27298211266618,0.999083897227042,1091.58058409907
"AEG27",7756,3.07459801872605,495.018040820838,7.2393805946913,0.999041253985484,1043.02910766721
"AEG28",7725,3.0623202089056,493.039472799826,7.26590779486134,0.999071036612825,1076.46868951588
"AEG29",7814,3.09762929908418,498.721108841558,7.28681992782139,0.999097055533834,1107.48782175467
"AEG3",7808,3.09521332310126,498.337345718508,7.31433633263565,0.999135670583366,1156.96629173501
"AEG30",7737,3.06710010547379,493.805929089017,7.27645693720263,0.999092479038663,1101.90292302134
"AEG31",7846,3.1103054662438,500.7635488921,7.26919772491179,0.999081514966918,1088.74936877834
"AEG32",7839,3.10750440545033,500.316186546186,7.26216212095306,0.999063403144894,1067.69523573393
"AEG33",7801,3.09246927268694,497.891155175377,7.26785046585472,0.999080197973234,1087.19047240599
"AEG34",7831,3.10437478857787,499.806386880048,7.26781141476418,0.999083422742041,1091.0155050392
"AEG35",7856,3.11423735875688,501.401206913381,7.28765307053049,0.999098426630092,1109.17206893819
"AEG36",7794,3.08967564235918,497.443945557655,7.25165959723343,0.999055978278847,1059.29765978087
"AEG37",7781,3.08452391531224,496.614162477435,7.25090105170295,0.99905539180052,1058.63997427787
"AEG38",7765,3.07820034401741,495.593240739936,7.26936134454263,0.999086709956469,1094.94240858407
"AEG39",7797,3.09086173678565,497.635377114777,7.28508196881308,0.999103201457166,1115.07763699129
"AEG4",7731,3.06469124517092,493.422312223518,7.23362345382391,0.999039417622134,1041.03512935689
"AEG40",7773,3.08134894430472,496.103430594715,7.26877507164316,0.999075758074239,1081.96779666436
"AEG41",7784,3.08572165351818,496.805833362963,7.270892864092,0.999081001079911,1088.14056049563
"AEG42",7762,3.07699246794424,495.401361479554,7.25396772705486,0.99906324029154,1067.50961956322
"AEG43",7770,3.08018292744867,495.912411714802,7.25857433270116,0.999071202367837,1076.66079818771
"AEG44",7814,3.09762540477271,498.721028797496,7.27080708943815,0.999081818435854,1089.10921221826
"AEG45",7792,3.08887212905512,497.316061760742,7.29537856132039,0.999116110380224,1131.36298653793
"AEG46",7851,3.11228560615337,501.08266964247,7.27131939762274,0.999082138704073,1089.48923376286
"AEG47",7861,3.11622653511701,501.720513401264,7.23682001293221,0.999041313462124,1043.09381689579
"AEG48",7800,3.09205268783175,497.826908495912,7.28850361194548,0.999105801044961,1118.31935652
"AEG49",7785,3.08611297978759,496.869560873249,7.28462970300265,0.999099221497991,1110.15082816631
"AEG5",7791,3.08847619856767,497.252239614645,7.2490363748669,0.999050868097882,1053.59434001581
"AEG50",7855,3.11387739892444,501.33812411593,7.2620911449907,0.99907024056618,1075.54703251685
"AEG6",7743,3.06947452427145,494.188838038546,7.28230947336847,0.999093091697153,1102.64730939272
"AEG7",7750,3.07221880201313,494.635033254437,7.23677331252904,0.999043053007386,1044.98996048677
"AEG8",7811,3.0964366315564,498.529542179875,7.27207717274777,0.999088962217764,1097.6493176223
"AEG9",7716,3.05876904051451,492.465324368364,7.25047374998918,0.99906385175022,1068.20687880887
"AEW1",7784,3.08571922895178,496.805783528039,7.28432899040074,0.999091691218074,1100.94718877377
"AEW10",7825,3.10197408107727,499.422937589517,7.27232767346957,0.999083136447673,1090.67483101701
"AEW11",7781,3.08451519033591,496.613983142387,7.25381894024035,0.99906779353112,1072.72372954183
"AEW12",7806,3.09444213123184,498.210126263572,7.24596824102,0.999054242770631,1057.35379962904
"AEW13",7848,3.11106041541667,500.890434490325,7.23145927500642,0.999032835126853,1033.94987531586
"AEW14",7779,3.08371024296108,496.486069868841,7.2389492041334,0.999037846571088,1039.3352764235
"AEW15",7738,3.06749387400033,493.869706798058,7.2589052375,0.999076988402445,1083.41000551736
"AEW16",7770,3.08017010028455,495.912148063667,7.28690861836539,0.999096394257139,1106.67734009112
"AEW17",7754,3.07383320421776,494.890952446859,7.24636320300749,0.999056952048614,1060.39146634108
"AEW18",7778,3.08334653426612,496.422910016395,7.27381324969135,0.999087364914926,1095.72820106834
"AEW19",7794,3.08970404637326,497.444529377646,7.27319099018598,0.999084700060241,1092.53803760087
"AEW2",7818,3.09919014214193,498.975927169988,7.28741030216404,0.999106834256284,1119.61302483453
"AEW20",7796,3.09046143475887,497.571465115027,7.26174182872474,0.99906703352203,1071.84987200861
"AEW21",7722,3.06112398320348,492.847833002299,7.24218953831874,0.999049932272629,1052.55654011895
