"EP_Plotid","mean","median","sd","mad"
"HEW13",6.13120408253744,6.13120408253744,0.00375276711350049,0.00265360707417006
"SEG14",6.21250886064955,6.21250886064955,0.0509965885752147,0.0360600335989147
"SEG15",6.00920717096888,6.00920717096888,0.153508420365316,0.10854684500955
"SEG16",6.24915249682963,6.24915249682963,0.0218078805059527,0.015420500189065
"SEG17",6.0688575938344,6.0688575938344,0.150381840372956,0.10633601909503
"SEG18",6.20055367341265,6.20055367341265,0.0775143186186047,0.0548109003342701
"SEG19",6.00240768450312,6.00240768450312,0.113380365331752,0.0801720251794902
"SEG20",6.141552841058,6.141552841058,0.18974748888074,0.13417173610069
"SEG21",5.9692125077825,5.9692125077825,0.0928527774039602,0.0656568285543453
"SEG22",6.17676915191114,6.17676915191114,0.0806923703838473,0.057058122288435
"SEG23",6.11453185770661,6.11453185770661,0.127875158138125,0.09042139146477
"SEG24",6.08953121230006,6.08953121230006,0.121930160104658,0.0862176430411652
"SEG25",6.06735413307324,6.06735413307324,0.180389584132214,0.12755469819531
"SEG26",6.26132918293587,6.26132918293587,0.0111345626055278,0.00787332472391489
"SEG1",6.16245455890894,6.16245455890894,0.127301184837813,0.0900155310519
"SEG2",5.97894218745641,5.97894218745641,0.0760785246501728,0.0537956406828051
"SEG3",6.09362333025784,6.09362333025784,0.0373267172003711,0.0263939748518149
"SEG4",6.28837593337521,6.28837593337521,0.0127290509172832,0.00900079822167976
"SEG5",6.27874690070748,6.27874690070748,0.0101154043274733,0.00715267099440009
"SEG6",6.09860817738809,6.09860817738809,0.0350373224505022,0.0247751282993698
"SEG7",6.11388607686385,6.11388607686385,0.00542567747358783,0.00383653333410505
"SEG8",6.07833129391074,6.07833129391074,0.122378998753189,0.0865350198932
"SEG9",6.04802793874405,6.04802793874405,0.188282467060673,0.133135809237135
"SEG10",6.1198202649597,6.1198202649597,0.252138772254412,0.178289035661145
"SEG11",6.13652826119215,6.13652826119215,0.202501682566355,0.143190312944355
"SEG12",6.10870204963721,6.10870204963721,0.255475575656347,0.18064851197414
"SEG13",6.05146655705757,6.05146655705757,0.161568606460181,0.114246257254855
"SEW42",6.01568054072559,6.01568054072559,0.0889344628037153,0.0628861617296899
"SEW43",5.98757953247986,5.98757953247986,0.0441438259233301,0.0312143986579052
"SEW44",6.07421255218796,6.07421255218796,0.0552015502800663,0.0390333905350451
"SEW45",6.03985414500348,6.03985414500348,0.062400510438337,0.04412382408045
"SEW46",6.17673221086152,6.17673221086152,0.0499557786049726,0.03532406981103
"SEW47",6.0375856207218,6.0375856207218,0.0537589115975699,0.0380132909398498
"SEW48",6.23671139744111,6.23671139744111,0.0444570533989283,0.0314358839299547
"SEW49",6.03546340251341,6.03546340251341,0.124808077707916,0.0882526380941253
"SEW50",6.17348488927819,6.17348488927819,0.115464147668979,0.0816454818006598
"SEW25",6.07349709211848,6.07349709211848,0.113692566926714,0.0803927850443849
"SEW26",6.10196632333099,6.10196632333099,0.179104441373747,0.126645965036005
"SEW27",6.08069665161893,6.08069665161893,0.206976765530649,0.14635467445478
"SEW28",6.0265192062594,6.0265192062594,0.0131315550327757,0.0092854116112
"SEW29",6.13020067731849,6.13020067731849,0.0523721559483608,0.0370327066164453
