"Variables","VIF"
"clim_var1_median_19007_20240102",2.88954163454066
"clim_var2_median_19007_20240102",2.63125234421654
"clim_var3_median_19007_20240102",2.60114281876076
"clim_var4_median_19007_20240102",2.47441961651252
"clim_var6_median_19007_20240102",2.74127550871093
"clim_var7_median_19007_20240102",2.39083614984504
"clim_var8_median_19007_20240102",2.38657200607768
"clim_var9_median_19007_20240102",2.57154463307781
"clim_var10_median_19007_20240102",2.18453334867355
"clim_var11_median_19007_20240102",2.59797495539938
"clim_var12_median_19007_20240102",2.27974178888883
"clim_var13_median_19007_20240102",2.48358600753981
"clim_var14_median_19007_20240102",2.36492382644502
"clim_var15_median_19007_20240102",2.45714772531702
"clim_var16_median_19007_20240102",2.25900024276618
"clim_var18_median_19007_20240102",2.45597812644269
"clim_var19_median_19007_20240102",2.27342899801538
"clim_var20_median_19007_20240102",2.46868274069192
"clim_var21_median_19007_20240102",2.89150382552572
"clim_var22_median_19007_20240102",2.47211717982994
"clim_var23_median_19007_20240102",2.40548855445102
"clim_var24_median_19007_20240102",2.80895459919632
"clim_var25_median_19007_20240102",2.51824949407959
"clim_var26_median_19007_20240102",2.60802314017316
"clim_var27_median_19007_20240102",2.35286011069323
"clim_var28_median_19007_20240102",2.61765382807004
"clim_var29_median_19007_20240102",2.6555522639948
"clim_var30_median_19007_20240102",2.2947776781136
"clim_var31_median_19007_20240102",2.27828034446822
"clim_var32_median_19007_20240102",2.31704689262322
"clim_var33_median_19007_20240102",2.3277574342831
"clim_var34_median_19007_20240102",2.68771967818906
"clim_var35_median_19007_20240102",2.39959905436701
"clim_var36_median_19007_20240102",2.22429058089485
"clim_var37_median_19007_20240102",2.77764924086538
"clim_var39_median_19007_20240102",2.51172593078654
"clim_var40_median_19007_20240102",2.52804501221126
"clim_var43_median_19007_20240102",2.92217084900924
"clim_var44_median_19007_20240102",2.77747092624518
"clim_var45_median_19007_20240102",2.35661987881271
"clim_var46_median_19007_20240102",2.96146924116892
"clim_var47_median_19007_20240102",2.73564315691702
"clim_var49_median_19007_20240102",2.73245818270134
"clim_var50_median_19007_20240102",2.70889721260096
"clim_var1_mad_19007_20240102",2.51650296454486
"clim_var2_mad_19007_20240102",2.35648878614974
"clim_var3_mad_19007_20240102",2.61883746312229
"clim_var4_mad_19007_20240102",2.88208923121587
"clim_var5_mad_19007_20240102",2.42014537798984
"clim_var6_mad_19007_20240102",2.22549649465789
"clim_var7_mad_19007_20240102",2.82362719571566
"clim_var8_mad_19007_20240102",2.83588843180636
"clim_var11_mad_19007_20240102",2.59758516959595
"clim_var12_mad_19007_20240102",2.72038511257218
"clim_var13_mad_19007_20240102",2.55077951337955
"clim_var14_mad_19007_20240102",2.87724954476009
"clim_var15_mad_19007_20240102",2.3262221229071
"clim_var16_mad_19007_20240102",2.81472184559045
"clim_var17_mad_19007_20240102",2.84415147548558
"clim_var19_mad_19007_20240102",2.53218058729771
"clim_var20_mad_19007_20240102",2.5307482780583
"clim_var21_mad_19007_20240102",2.65527741349357
"clim_var23_mad_19007_20240102",2.39536000418321
"clim_var24_mad_19007_20240102",2.36037443818645
