"Plot","Rarefaction_slope"
"AEG1",0.00104007038418809
"AEG10",0.00105992871248315
"AEG11",0.00111010037134998
"AEG12",0.00113234198589755
"AEG13",0.00113524463815465
"AEG14",0.00102885729832263
"AEG15",0.00107368805881639
"AEG16",0.00112545290142365
"AEG17",0.00105430915079625
"AEG18",0.0011012556375285
"AEG19",0.00107620779366899
"AEG2",0.00106281882187195
"AEG20",0.0011462457742571
"AEG21",0.00107547536573305
"AEG22",0.00119859829661759
"AEG23",0.00105294220335268
"AEG24",0.00116295224276746
"AEG25",0.00113871031930325
"AEG26",0.00113297573497241
"AEG27",0.00107404397302485
"AEG28",0.00101436374165043
"AEG29",0.00109841736865904
"AEG3",0.00118511512708282
"AEG30",0.00110011252220222
"AEG31",0.0011773231521207
"AEG32",0.00113069487900207
"AEG33",0.00109602932400494
"AEG34",0.0010971319887376
"AEG35",0.00120999073583276
"AEG36",0.00107259152032343
"AEG37",0.00107847958774984
"AEG38",0.00111626907755318
"AEG39",0.00114519916674864
"AEG4",0.00102952710660502
"AEG40",0.00109307096332293
"AEG41",0.00108256166946883
"AEG42",0.00100932311901824
"AEG43",0.00109755379561181
"AEG44",0.00106152643626099
"AEG45",0.00117160727016456
"AEG46",0.00109944588131812
"AEG47",0.0010941800466304
"AEG48",0.00114249723261693
"AEG49",0.00116124063116319
"AEG5",0.00105674487509622
"AEG50",0.00105978236003854
"AEG6",0.00102842194321516
"AEG7",0.0010921601798742
"AEG8",0.00119041182463468
"AEG9",0.00105633093163706
"AEW1",0.00114672817447985
"AEW10",0.00110316769234026
"AEW11",0.00107698505596391
"AEW12",0.0010843806099937
"AEW13",0.00108317477788662
"AEW14",0.00105367716758977
"AEW15",0.00108123097899802
"AEW16",0.00103537159586462
"AEW17",0.00106193286536572
"AEW18",0.00115809875059951
"AEW19",0.00112477140480834
"AEW2",0.00113708834650742
"AEW20",0.00106731293295556
"AEW21",0.00107584213991664
"AEW22",0.0010729623018814
"AEW23",0.00114318857601775
"AEW24",0.00106228133182803
"AEW25",0.00112066794589284
"AEW26",0.00116094201501189
"AEW27",0.00107049618447911
"AEW28",0.00108208174399893
"AEW29",0.00115710976619981
"AEW3",0.00109207390972453
"AEW30",0.0010766266986038
"AEW31",0.00105256558001027
"AEW32",0.00102903127132529
"AEW33",0.00105399896107761
"AEW34",0.00107388398768045
"AEW35",0.00103856895425808
"AEW36",0.00101594539438583
"AEW37",0.00117716960852364
"AEW38",0.00116192270237371
"AEW39",0.0011389862187311
"AEW4",0.00110168476746804
"AEW40",0.00104209457963511
"AEW41",0.00108479221911216
"AEW42",0.00107710628086045
"AEW43",0.00111042573104834
"AEW44",0.00109945632174634
"AEW45",0.00118104520613913
"AEW46",0.00108836563466793
"AEW47",0.00112199062130641
"AEW48",0.00107693305362728
"AEW49",0.00110517686300773
"AEW5",0.00112659215221747
"AEW50",0.00106987637973238
"AEW6",0.00116522917681666
"AEW7",0.001081768652476
"AEW8",0.00116021594375559
"AEW9",0.00119838703856699
"HEG1",0.00108040404526445
"HEG10",0.0010815951040587
"HEG11",0.00099920145825255
"HEG12",0.00115337927114868
"HEG13",0.00110889309588342
"HEG14",0.00105232729064014
"HEG15",0.00113935044172082
"HEG16",0.00111292092301325
"HEG17",0.00120415430463143
"HEG18",0.00111265190393481
"HEG19",0.00103056522345775
"HEG2",0.00111888489049738
"HEG20",0.00109409126724772
"HEG21",0.00103290501495489
"HEG22",0.00102595724058931
"HEG23",0.00108845594482777
"HEG24",0.00106847776439353
"HEG25",0.00110493640397331
"HEG26",0.00111027043916546
"HEG27",0.00106231713541179
"HEG28",0.00114153730349529
"HEG29",0.00108476790143192
"HEG3",0.00110051487086609
"HEG30",0.00107422624627545
"HEG31",0.00109982397828657
"HEG32",0.00105835503611541
"HEG33",0.00114596145144418
"HEG34",0.00116729890565365
"HEG35",0.00116887693792099
"HEG36",0.00107773405734978
"HEG37",0.00111149491465269
"HEG38",0.0010826342885467
"HEG39",0.00100800528777785
"HEG4",0.00105829744858456
"HEG40",0.00110153714692532
"HEG41",0.00116134521987316
"HEG42",0.00111085945023503
"HEG43",0.00110416672225318
"HEG44",0.00111789070558665
"HEG45",0.000963855552873854
"HEG46",0.00114009856946045
"HEG47",0.00107616051306193
"HEG48",0.00109516543209984
"HEG49",0.00120620099449924
"HEG5",0.00115638065370777
"HEG50",0.00111118250061348
"HEG6",0.00109686621308699
"HEG7",0.00108600511032328
"HEG8",0.00116260309694174
"HEG9",0.00111860089382919
"HEW1",0.00116646098066043
"HEW10",0.00101356278496389
"HEW11",0.00112672180504288
"HEW12",0.00104892539159874
"HEW13",0.00104107654308918
"HEW14",0.000989610079113222
"HEW15",0.00118296362796357
"HEW16",0.0011306258329949
"HEW17",0.00108825260997921
"HEW18",0.00109442958124695
"HEW19",0.00101405388161725
"HEW2",0.00102541443663039
"HEW20",0.00101095470350385
"HEW21",0.00117621551559686
"HEW22",0.00114623227964598
"HEW23",0.00111136127675402
"HEW24",0.00105144490211825
"HEW25",0.00109762708210771
"HEW26",0.00112214489737618
"HEW27",0.00104000321318937
"HEW28",0.00116618306348213
"HEW29",0.00109601254154558
"HEW3",0.00107524091497394
"HEW30",0.00111279635034837
"HEW31",0.0012404990986319
"HEW32",0.00101330371848413
"HEW33",0.00115265554833869
"HEW34",0.00114874922202118
"HEW35",0.0011318965289131
"HEW36",0.0011567551003689
"HEW37",0.00107099645177038
"HEW38",0.00116325148610447
"HEW39",0.00111560734724905
"HEW4",0
"HEW40",0.00103143670051506
"HEW41",0.0010853675875089
"HEW42",0.00109775528693076
"HEW43",0.00112336531284055
"HEW44",0.00109837045327917
"HEW45",0.00112187057901638
"HEW46",0.00103734168697871
"HEW47",0.0011722484545775
"HEW48",0.00115113881805012
"HEW49",0.00104882823685838
