"Variables","VIF"
"clim_var48_mean_19007_20240102",4.14600861492564
"clim_var1_median_19007_20240102",3.69173437367132
"clim_var2_median_19007_20240102",3.71469742471195
"clim_var3_median_19007_20240102",3.93933901627489
"clim_var4_median_19007_20240102",3.59846775843233
"clim_var5_median_19007_20240102",3.75277022624702
"clim_var6_median_19007_20240102",3.97241674844823
"clim_var7_median_19007_20240102",3.197884476761
"clim_var8_median_19007_20240102",3.78206695683009
"clim_var9_median_19007_20240102",3.4823489735029
"clim_var10_median_19007_20240102",3.91306058407936
"clim_var11_median_19007_20240102",4.74367955080353
"clim_var12_median_19007_20240102",3.18314494003634
"clim_var13_median_19007_20240102",3.36117946648219
"clim_var14_median_19007_20240102",3.02217505620388
"clim_var15_median_19007_20240102",3.67693482048988
"clim_var16_median_19007_20240102",3.21394802221687
"clim_var17_median_19007_20240102",4.367471751743
"clim_var18_median_19007_20240102",3.44172940772314
"clim_var19_median_19007_20240102",3.63553697495828
"clim_var20_median_19007_20240102",3.82723607173836
"clim_var21_median_19007_20240102",4.27119438884976
"clim_var22_median_19007_20240102",3.59995891121768
"clim_var23_median_19007_20240102",3.27251119990987
"clim_var24_median_19007_20240102",3.46002002367745
"clim_var25_median_19007_20240102",3.91692753428321
"clim_var26_median_19007_20240102",3.42726472692004
"clim_var27_median_19007_20240102",3.41583418980497
"clim_var28_median_19007_20240102",3.79490361919326
"clim_var29_median_19007_20240102",3.65479400325749
"clim_var30_median_19007_20240102",3.10465393818449
"clim_var31_median_19007_20240102",3.08624044840957
"clim_var32_median_19007_20240102",3.54666576393824
"clim_var33_median_19007_20240102",3.8033091865314
"clim_var34_median_19007_20240102",3.41154156234726
"clim_var35_median_19007_20240102",3.82945513423106
"clim_var36_median_19007_20240102",3.94918525236036
"clim_var37_median_19007_20240102",3.41075846971332
"clim_var38_median_19007_20240102",3.79257516580728
"clim_var39_median_19007_20240102",3.87725886556671
"clim_var40_median_19007_20240102",3.20631763271061
"clim_var41_median_19007_20240102",4.37461949241809
"clim_var42_median_19007_20240102",3.69502806679425
"clim_var43_median_19007_20240102",4.29503306836262
"clim_var44_median_19007_20240102",3.68642585076123
"clim_var45_median_19007_20240102",3.67283974356866
"clim_var46_median_19007_20240102",4.12331982651
"clim_var47_median_19007_20240102",3.71633595138879
"clim_var49_median_19007_20240102",4.14902848764625
"clim_var50_median_19007_20240102",3.40501707363715
"clim_var14_sd_19007_20240102",7.67792345000156
"clim_var20_sd_19007_20240102",9.58633887783121
"clim_var31_sd_19007_20240102",9.76336006405367
"clim_var39_sd_19007_20240102",9.96195425606593
"clim_var46_sd_19007_20240102",9.7740528202534
"clim_var1_mad_19007_20240102",3.79425079887514
"clim_var2_mad_19007_20240102",3.08215613196182
"clim_var3_mad_19007_20240102",4.48004352530501
"clim_var4_mad_19007_20240102",4.07618300298237
"clim_var5_mad_19007_20240102",3.73152271174764
"clim_var6_mad_19007_20240102",3.10459450035772
"clim_var7_mad_19007_20240102",3.81544286180911
"clim_var8_mad_19007_20240102",3.98997691089975
"clim_var9_mad_19007_20240102",4.51124040096022
"clim_var10_mad_19007_20240102",5.14668779956671
"clim_var11_mad_19007_20240102",3.45515031427995
"clim_var12_mad_19007_20240102",3.66504160466601
"clim_var13_mad_19007_20240102",3.84788114702344
"clim_var14_mad_19007_20240102",6.62889439414039
"clim_var15_mad_19007_20240102",3.36734078769086
"clim_var16_mad_19007_20240102",3.50199673440568
"clim_var17_mad_19007_20240102",3.69361989488155
"clim_var18_mad_19007_20240102",4.27816745123096
"clim_var19_mad_19007_20240102",3.20928713798618
"clim_var20_mad_19007_20240102",6.00511426040156
"clim_var21_mad_19007_20240102",3.90056716574825
"clim_var22_mad_19007_20240102",4.08918655516399
"clim_var23_mad_19007_20240102",3.4283057699156
"clim_var24_mad_19007_20240102",3.27446634111254
"clim_var25_mad_19007_20240102",3.77089589566392
"clim_var26_mad_19007_20240102",3.44049221502726
"clim_var27_mad_19007_20240102",4.78078936873174
"clim_var28_mad_19007_20240102",3.54627623010692
"clim_var29_mad_19007_20240102",4.29677323731303
"clim_var30_mad_19007_20240102",3.56904021532196
"clim_var31_mad_19007_20240102",6.87948251794984
"clim_var32_mad_19007_20240102",3.3977529992409
"clim_var33_mad_19007_20240102",3.67807987739175
"clim_var34_mad_19007_20240102",3.57761645348023
"clim_var35_mad_19007_20240102",4.64940218739709
"clim_var36_mad_19007_20240102",3.808381883577
"clim_var37_mad_19007_20240102",3.68905106796425
"clim_var38_mad_19007_20240102",3.60048935362103
"clim_var39_mad_19007_20240102",5.43371768994909
"clim_var40_mad_19007_20240102",4.41399915933018
"clim_var41_mad_19007_20240102",3.42709733690886
"clim_var42_mad_19007_20240102",4.40353779519965
"clim_var43_mad_19007_20240102",3.94506217204468
"clim_var44_mad_19007_20240102",3.4767545198431
"clim_var45_mad_19007_20240102",3.34547368654639
"clim_var46_mad_19007_20240102",6.07890396333889
"clim_var47_mad_19007_20240102",3.99615518914009
"clim_var48_mad_19007_20240102",4.40401195274728
"clim_var49_mad_19007_20240102",3.91578393229658
"clim_var50_mad_19007_20240102",4.3795648162993
"clim_var1_min_19007_20240102",3.47323322492981
"clim_var2_min_19007_20240102",3.52444963362919
"clim_var3_min_19007_20240102",3.83224641411771
"clim_var4_min_19007_20240102",3.30389520399329
"clim_var5_min_19007_20240102",4.17766174445767
"clim_var6_min_19007_20240102",3.80916582386199
"clim_var7_min_19007_20240102",4.01503568646136
"clim_var8_min_19007_20240102",3.17838615420949
"clim_var9_min_19007_20240102",3.5010519520457
"clim_var10_min_19007_20240102",3.55825368345826
"clim_var11_min_19007_20240102",3.75192851170429
"clim_var12_min_19007_20240102",3.8255439648976
"clim_var13_min_19007_20240102",2.69097002873508
"clim_var14_min_19007_20240102",4.07109666380676
"clim_var15_min_19007_20240102",4.15839231463319
"clim_var16_min_19007_20240102",4.19386041970138
"clim_var17_min_19007_20240102",3.6720959881213
"clim_var18_min_19007_20240102",3.38852810949784
"clim_var19_min_19007_20240102",3.39053291371621
"clim_var20_min_19007_20240102",4.73689270319765
"clim_var21_min_19007_20240102",3.34229899711067
"clim_var22_min_19007_20240102",3.21468347719202
"clim_var23_min_19007_20240102",3.85165168180376
"clim_var24_min_19007_20240102",4.18154676918721
"clim_var25_min_19007_20240102",3.4256639897018
"clim_var26_min_19007_20240102",4.45645037036361
"clim_var27_min_19007_20240102",3.19078414731285
"clim_var28_min_19007_20240102",3.12635931255804
"clim_var29_min_19007_20240102",4.12347238046575
"clim_var30_min_19007_20240102",3.30163874314074
"clim_var31_min_19007_20240102",3.91781847077898
"clim_var32_min_19007_20240102",3.56302990797592
"clim_var33_min_19007_20240102",5.2038648632356
"clim_var34_min_19007_20240102",3.77934168477502
"clim_var35_min_19007_20240102",3.65688070798726
"clim_var36_min_19007_20240102",3.73312133804281
"clim_var37_min_19007_20240102",3.54913807967983
"clim_var38_min_19007_20240102",3.83728719719814
"clim_var39_min_19007_20240102",5.40602985609582
"clim_var40_min_19007_20240102",3.7562791533228
"clim_var41_min_19007_20240102",2.9942097215883
"clim_var42_min_19007_20240102",3.076156448751
"clim_var43_min_19007_20240102",3.4614032778141
"clim_var44_min_19007_20240102",3.5568693428641
"clim_var45_min_19007_20240102",4.1047540886546
"clim_var46_min_19007_20240102",4.40779448029925
"clim_var47_min_19007_20240102",3.10783737274943
"clim_var48_min_19007_20240102",3.48913079177962
"clim_var49_min_19007_20240102",4.09842603957581
"clim_var50_min_19007_20240102",4.00098651605021
"clim_var1_max_19007_20240102",3.13144370477009
"clim_var2_max_19007_20240102",3.36897828055276
"clim_var3_max_19007_20240102",3.70953055786259
"clim_var4_max_19007_20240102",3.68301736428082
"clim_var5_max_19007_20240102",3.31307756419653
"clim_var6_max_19007_20240102",3.81635135890792
"clim_var7_max_19007_20240102",3.10742279581307
"clim_var8_max_19007_20240102",3.70322245390513
"clim_var9_max_19007_20240102",4.19581388909624
"clim_var10_max_19007_20240102",4.76411395678857
"clim_var11_max_19007_20240102",2.89870067817433
"clim_var12_max_19007_20240102",3.41350272134131
"clim_var13_max_19007_20240102",4.72229743420434
"clim_var14_max_19007_20240102",4.18807858795184
"clim_var15_max_19007_20240102",3.39862843603564
"clim_var16_max_19007_20240102",3.23569629696702
"clim_var17_max_19007_20240102",3.98293760688555
"clim_var18_max_19007_20240102",3.47776458174761
"clim_var19_max_19007_20240102",3.74225164638549
"clim_var20_max_19007_20240102",5.17859591990682
"clim_var21_max_19007_20240102",3.52763190173508
"clim_var22_max_19007_20240102",3.75470370859438
"clim_var23_max_19007_20240102",3.35764079396761
"clim_var24_max_19007_20240102",3.54979200186352
"clim_var25_max_19007_20240102",3.98652098072315
"clim_var26_max_19007_20240102",4.32326248343218
"clim_var27_max_19007_20240102",4.02013758148822
"clim_var28_max_19007_20240102",3.37170935371981
"clim_var29_max_19007_20240102",3.92288274722872
"clim_var30_max_19007_20240102",2.98604447610033
"clim_var31_max_19007_20240102",4.90743703752984
"clim_var32_max_19007_20240102",4.20722808911421
"clim_var33_max_19007_20240102",3.42026607482444
"clim_var34_max_19007_20240102",3.61402672753261
"clim_var35_max_19007_20240102",4.73937571016858
"clim_var36_max_19007_20240102",4.28431716223303
"clim_var37_max_19007_20240102",3.7679972882702
"clim_var38_max_19007_20240102",3.58480127313383
"clim_var39_max_19007_20240102",4.68155605254814
"clim_var40_max_19007_20240102",3.3515428771974
"clim_var41_max_19007_20240102",2.83474513837438
"clim_var42_max_19007_20240102",3.12731628430393
"clim_var43_max_19007_20240102",3.3719840648658
"clim_var44_max_19007_20240102",3.48926563709718
"clim_var45_max_19007_20240102",3.60515123406024
"clim_var46_max_19007_20240102",5.04094742775674
"clim_var47_max_19007_20240102",3.85782083395844
"clim_var48_max_19007_20240102",4.13118472619768
"clim_var49_max_19007_20240102",3.26831563796536
"clim_var50_max_19007_20240102",3.95834086910105
"Margalef_25067_2",4.69175351019006
"Shannon_25067_2",4.83848969313808
